TID,KID,TName
0, 14, Bayern Munich
1, 12, Hamburg
2, 9, Leverkusen
3, 30, Mainz
4, 15, M'gladbach
5, 2, Schalke 04
6, 11, Stuttgart
7, 58, Hannover
8, 24, Wolfsburg
9, 81, Nurnberg
10, 110, Aachen
11, 78, Cottbus
12, 17, Dortmund
13, 32, Ein Frankfurt
14, 29, Hertha
15, 4, Werder Bremen
16, 10, Bielefeld
17, 8, Bochum
18, 6, Karlsruhe
19, 1, Duisburg
20, 3, Hansa Rostock
21, 3209, Hoffenheim
22, 16, FC Koln
23, 7, Freiburg
24, 37, Kaiserslautern
25, 18, St Pauli
26, 91, Augsburg
27, 82, Greuther Furth
28, 13, Fortuna Dusseldorf
29, 41, Braunschweig
30, 109, Paderborn
31, 98, Darmstadt
32, 7659, Ingolstadt
33, 15778, RB Leipzig